,PriceUpdateDate,ItemCode,ItemType,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,UnitOfMeasure,bIsWeighted,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus,ItemId
108,2018-07-16 12:58:16,7290000286228,1,סנו סושי כריות שישיה,סדובסקי,ישראל,סנו סושי,יח',6.00,יח',0,לא ידוע,9.90,1.6500,1,1,38800
109,2018-07-16 12:58:37,7290000291963,1,אקונומיקה זאוול 1 לי,סנו,ישראל,סנו ז'אוול,ליטרים,1.00,ליטר    ,0,לא ידוע,7.90,7.9000,1,1,38850
110,2018-07-16 12:58:38,7290000292434,1,סנו רהיט מילוי,סנו,ישראל,סנו,מיליליטרים,500.00,"100 מ""ל",0,לא ידוע,12.90,0.0258,1,1,38853
111,2018-07-16 12:58:40,7290000293516,1,סנו סופג לחות,סנו,ישראל,סנו,גרמים,340.00,100 גרם,0,לא ידוע,24.90,0.0732,1,1,38860
112,2018-07-16 12:58:49,7290000295824,1,רדיד אלומיניום צר עם,פרגמק,ישראל,סנו סושי,מטרים,100.00,מטר,0,לא ידוע,49.90,0.4990,1,1,38880
113,2018-07-16 12:59:15,7290000327532,1,פפסי קולה 1.5 ל שישי,טמפו,ישראל,פפסי,ליטרים,1.50,ליטר    ,0,לא ידוע,23.90,15.9333,1,1,39329
114,2018-07-16 12:59:49,7290000408316,1,דנונה ביו  3% 200 גר,שטראוס גרופ,ישראל,שטראוס,גרמים,200.00,100 גרם,0,לא ידוע,3.50,0.0175,1,1,40112
115,2018-07-16 13:00:30,7290000518190,1,מתוק וקל 100 שקיות,מתוק וקל,ישראל,מתוק וקל,גרמים,200.00,100 גרם,0,לא ידוע,24.90,0.1245,1,1,38024
116,2018-07-16 13:02:21,7290002007500,1,קסמים חבית 500 יחידו,הנג טונג,סין,הנמל,יח',500.00,יח',0,לא ידוע,2.90,0.0058,1,1,39049
117,2018-07-16 13:02:25,7290002008187,1,קשים מתקפלים  40 יחי,הנג טונג,סין,הנמל,יח',40.00,יח',0,לא ידוע,1.00,0.0250,1,1,39062
118,2018-07-16 13:02:37,7290002040071,1,קוסקוס עבה 350 גרם,קוסקוס,ישראל,הנמל,גרמים,350.00,100 גרם,0,לא ידוע,4.90,0.0140,1,1,39072
119,2018-07-16 13:02:40,7290002057017,1,זיתים נובו ענק,קבוצת יבנה,ישראל,קבוצת יבנה,גרמים,330.00,100 גרם,0,לא ידוע,8.90,0.0270,1,1,40031
120,2018-07-16 13:02:42,7290002057062,1,זיתים ירוקים בינוני,קבוצת יבנה,ישראל,קבוצת יבנה,גרמים,540.00,100 גרם,0,לא ידוע,5.90,0.0109,1,1,40035
121,2018-07-16 13:02:43,7290002057109,1,זיתים מונזלינו 540 ג,קבוצת יבנה,ישראל,קבוצת יבנה,גרמים,540.00,100 גרם,0,לא ידוע,7.90,0.0146,1,1,40039
122,2018-07-16 13:02:48,7290002057406,1,מלפפון בחומץ 30-36 3,קבוצת יבנה,ישראל,קבוצת יבנה,קילוגרמים,3.00,"ק""ג     ",0,לא ידוע,19.90,6.6333,1,1,40052
123,2018-07-16 13:04:19,7290002517290,1,קינמון טחון 40 גרם מ,"תבליני טעם וריח בע""מ",ישראל,"תבליני טעם וריח בע""מ",גרמים,40.00,100 גרם,0,לא ידוע,5.90,0.1475,1,1,40837
124,2018-07-16 13:04:53,7290002771128,1,קפה קלוי וטחון בלי ה,לא ידוע,כללי,קפה אלנחלה 250 גרם,גרמים,250.00,100 גרם,0,לא ידוע,15.90,0.0636,1,1,38021
125,2018-07-16 13:05:04,7290002827320,1,נקניקיות מרגז 400 גר,לא ידוע,כללי,נקניקיות מרגז,גרמים,400.00,100 גרם,0,לא ידוע,17.90,0.0447,1,1,41164
126,2018-07-16 13:05:32,7290003015474,1,בייבי כיף מגבונים רב,טרופיקל דגיל קוסמטיק,ישראל,בייבי כיף,יח',4.00,יח',0,לא ידוע,17.90,4.4750,1,1,38899
127,2018-07-16 13:06:04,7290003144761,1,שוקולד מריר 85%,נאטרא מאלה,בלגיה,צוקטה,גרמים,100.00,100 גרם,0,לא ידוע,7.90,0.0790,1,1,39545
128,2018-07-16 13:07:27,7290004030018,1,"מיץ לימון 500 מ""ל",פריניב,ישראל,פרי ניב,מיליליטרים,500.00,"100 מ""ל",0,לא ידוע,6.90,0.0138,1,1,41193
129,2018-07-16 13:08:38,7290004257217,1,מגן פמוט 50 יחי בקופ,"מנורה שי נר בע""מ",ישראל,מנורה,יח',50.00,יח',0,לא ידוע,7.90,0.1580,1,1,41232
130,2018-07-16 13:09:10,7290005174575,1,טחינה 125 משובחת,שטראוס גרופ,ישראל,שטראוס,גרמים,125.00,100 גרם,0,לא ידוע,4.70,0.0376,1,1,40161
131,2018-07-16 13:09:25,7290005423505,1,אורביטול מי פה,קוסמופארם,ישראל,אורביטול,מיליליטרים,500.00,"100 מ""ל",0,לא ידוע,19.90,0.0398,1,1,38932
132,2018-07-16 13:09:37,7290005426360,1,קרמה רחצה 750,קוסמופארם,ישראל,קרמה,מיליליטרים,750.00,"100 מ""ל",0,לא ידוע,14.90,0.0199,1,1,38964
133,2018-07-16 13:11:47,7290005838613,1,סקי וניל 125 בודד,שטראוס גרופ,ישראל,שטראוס,גרמים,125.00,100 גרם,0,לא ידוע,3.70,0.0296,1,1,40163
134,2018-07-16 13:13:49,7290008747547,1,תפוציפס קראנצ' טבעי,שטראוס פריטו ליי (מל,ישראל,עלית,גרמים,200.00,100 גרם,0,לא ידוע,9.90,0.0495,1,1,39931
135,2018-07-16 13:13:52,7290008753883,1,וופל פירורים טרפלס,שטראוס גרופ,ישראל,עלית,גרמים,350.00,100 גרם,0,לא ידוע,13.90,0.0397,1,1,39911
136,2018-07-17 08:22:39,7290107978330,1,מאסטר שף איטריות דקו,פי.פי.איג' ארטלקס ג',פולין,מאסטר שף,גרמים,400.00,100 גרם,0,לא ידוע,3.90,0.0097,1,1,32905
137,2018-07-24 12:25:24,6112017102883,1,כפיות 6 יח צבעוני,לא ידוע,לא ידוע,כפיות 6 יח צבעוני,יח',6.00,יח',0,לא ידוע,9.90,1.6500,1,1,41354
138,2018-08-01 11:47:38,7290002008828,1,גמבו שוקו לבן 200 גר,ממתקי עלה ייצור שווק,ישראל,הנמל,גרמים,200.00,100 גרם,0,לא ידוע,7.90,0.0395,1,1,42075
139,2018-08-01 11:49:27,7290003715701,1,גרעיני דלעת מקולפים,זארובי פיצוחי הגליל,ישראל,זארובי פיצוחי הגליל,גרמים,100.00,100 גרם,0,לא ידוע,7.90,0.0790,1,1,41631
140,2018-08-01 11:57:50,7290003681303,1,שעועית מעורבת 500 גר,"מיה תעשיות מזון בע""מ",ישראל,מיה,גרמים,500.00,100 גרם,0,לא ידוע,7.90,0.0158,1,1,42424
